VBELV,POSNV,VBELN,POSNN,VBTYP_N,VBTYP_V,RFMNG,MEINS,RFWRT,WAERS,ERDAT,ERZET,MATNR,BWART,AEDAT,FKTYP
0000009704,000020,0090034304,000020,M,C,1.0,H,5000.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000030,M,C,1.0,H,1400.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000040,M,C,1.0,H,15000.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000050,M,C,1.0,H,7200.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000060,M,C,1.0,H,2850.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000070,M,C,1.0,H,4000.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000080,M,C,1.0,H,1600.0,USD,20031230,201558, , ,00000000,A
0000009704,000020,0090034304,000090,M,C,1.0,H,-22680.0,USD,20031230,201558, , ,00000000,A
0000009706,000010,0080013192,000010,J,C,236.0,ST,0.0, ,20040114,040221, ,601,00000000, 
0000009706,000010,0090034332,000010,M,C,236.0,ST,21098.4,EUR,20040116,040221, , ,00000000,L
0000009706,000010,4900031195,000001,R,C,236.0,ST,8354.4,EUR,20040115,040203,DPC1013,601,00000000, 
0000009706,000020,0080013192,000020,J,C,298.0,ST,0.0, ,20040114,040221, ,601,00000000, 
0000009706,000020,0090034332,000020,M,C,298.0,ST,65828.2,EUR,20040116,040221, , ,00000000,L
0000009706,000020,4900031195,000002,R,C,298.0,ST,47054.2,EUR,20040115,040203,DPC1002,601,00000000, 
0000009706,000030,0080013192,000030,J,C,99.0,ST,0.0, ,20040114,040221, ,601,00000000, 
0000009706,000030,0090034332,000030,M,C,99.0,ST,5296.5,EUR,20040116,040221, , ,00000000,L
0000009706,000030,4900031195,000003,R,C,99.0,ST,3752.09,EUR,20040115,040203,DPC1017,601,00000000, 
0000009706,000040,0080013192,000040,J,C,391.0,ST,0.0, ,20040114,040221, ,601,00000000, 
0000009706,000040,0090034332,000040,M,C,391.0,ST,23440.45,EUR,20040116,040221, , ,00000000,L
0000009706,000040,4900031195,000004,R,C,391.0,ST,6490.6,EUR,20040115,040203,DPC1009,601,00000000, 
0000009707,000010,0080013180,000010,J,C,0.08,KAR,0.0, ,20040105,050041, ,601,00000000, 
0000009707,000010,0090034307,000010,M,C,0.08,KAR,30.14,EUR,20040105,050117, , ,00000000,L
0000009707,000010,4900031122,000001,R,C,0.08,KAR,18.45,EUR,20040105,050106,L-60C,601,00000000, 
0000009708,000010,0080013181,000010,J,C,0.01,KAR,0.0, ,20040105,050144, ,601,00000000, 
0000009708,000010,0090034308,000010,M,C,0.01,KAR,3.77,EUR,20040105,050148, , ,00000000,L
0000009708,000010,4900031124,000001,R,C,0.01,KAR,2.31,EUR,20040105,050146,L-60C,601,00000000, 
0000009709,000010,0080013182,000010,J,C,0.05,KAR,0.0, ,20040105,050156, ,601,00000000, 
0000009709,000010,0090034309,000010,M,C,0.05,KAR,19.66,EUR,20040105,050200, , ,00000000,L
0000009709,000010,4900031126,000001,R,C,0.05,KAR,12.77,EUR,20040105,050159,L-80C,601,00000000, 
0000009710,000010,0080013183,000010,J,C,15.0,ST,0.0, ,20040105,050210, ,601,00000000, 
0000009710,000010,0090034310,000010,M,C,15.0,ST,1120.5,EUR,20040105,050215, , ,00000000,L
0000009710,000010,4900031128,000001,R,C,15.0,ST,1234.77,EUR,20040105,050213,R-1180,601,00000000, 
0000009711,000010,0080013184,000010,J,C,0.07,KAR,0.0, ,20040105,050223, ,601,00000000, 
0000009711,000010,0090034311,000010,M,C,0.07,KAR,26.38,EUR,20040105,050227, , ,00000000,L
0000009711,000010,4900031130,000001,R,C,0.07,KAR,16.14,EUR,20040105,050225,L-60C,601,00000000, 
0000009712,000010,0080013185,000010,J,C,0.08,KAR,0.0, ,20040105,050233, ,601,00000000, 
0000009712,000010,0090034312,000010,M,C,0.08,KAR,31.46,EUR,20040105,050238, , ,00000000,L
0000009712,000010,4900031132,000001,R,C,0.08,KAR,20.44,EUR,20040105,050236,L-80C,601,00000000, 
0000009713,000010,0080013186,000010,J,C,1.0,ST,0.0, ,20040105,050246, ,601,00000000, 
0000009713,000010,0090034313,000010,M,C,1.0,ST,1100.0,EUR,20040105,050252, , ,00000000,L
0000009713,000010,4900031134,000001,R,C,1.0,ST,390.63,EUR,20040105,050249,M-07,601,00000000, 
0000009714,000010,0080013187,000010,J,C,44.0,ST,0.0, ,20040105,050300, ,601,00000000, 
0000009714,000010,0090034314,000010,M,C,44.0,ST,48400.0,EUR,20040105,050304, , ,00000000,L
0000009714,000010,4900031136,000001,R,C,44.0,ST,17187.59,EUR,20040105,050303,M-07,601,00000000, 
0000009715,000010,0080013188,000010,J,C,44.0,ST,0.0, ,20040105,050313, ,601,00000000, 
0000009715,000010,0090034315,000010,M,C,44.0,ST,55000.0,EUR,20040105,050317, , ,00000000,L
0000009715,000010,4900031138,000001,R,C,44.0,ST,32172.83,EUR,20040105,050315,M-08,601,00000000, 
0000009716,000010,0080013189,000010,J,C,1.0,ST,0.0, ,20040105,050324, ,601,00000000, 
0000009716,000010,0090034316,000010,M,C,1.0,ST,1250.0,EUR,20040105,050327, , ,00000000,L
0000009716,000010,4900031140,000001,R,C,1.0,ST,731.2,EUR,20040105,050326,M-08,601,00000000, 
0000009717,000010,0080013223,000010,J,C,724.0,ST,0.0, ,20040116,040100, ,601,00000000, 
0000009717,000010,0090034336,000010,M,C,724.0,ST,43440.0,EUR,20040120,040313, , ,00000000,L
0000009717,000010,4900031221,000001,R,C,724.0,ST,16290.0,EUR,20040119,040245,1400-100,601,00000000, 
0000009717,000020,0080013223,000020,J,C,331.0,ST,0.0, ,20040116,040100, ,601,00000000, 
0000009717,000020,0090034336,000020,M,C,331.0,ST,99300.0,EUR,20040120,040313, , ,00000000,L
0000009717,000020,4900031221,000002,R,C,331.0,ST,7616.31,EUR,20040119,040245,1400-400,601,00000000, 
0000009718,000010,0080013224,000010,J,C,11.0,ST,0.0, ,20040116,040127, ,601,00000000, 
0000009718,000010,0090034337,000010,M,C,11.0,ST,9111.3,EUR,20040120,040414, , ,00000000,L
0000009718,000010,4900031222,000001,R,C,11.0,ST,5905.91,EUR,20040119,040345,M-13,601,00000000, 
0000009718,000020,0080013224,000020,J,C,11.0,ST,0.0, ,20040116,040127, ,601,00000000, 
0000009718,000020,0090034337,000020,M,C,11.0,ST,4948.9,EUR,20040120,040414, , ,00000000,L
0000009718,000020,4900031222,000002,R,C,11.0,ST,3149.3,EUR,20040119,040345,M-05,601,00000000, 
0000009718,000030,0080013224,000030,J,C,6.0,ST,0.0, ,20040116,040127, ,601,00000000, 
0000009718,000030,0090034337,000030,M,C,6.0,ST,5154.0,EUR,20040120,040414, , ,00000000,L
0000009718,000030,4900031222,000003,R,C,6.0,ST,3252.8,EUR,20040119,040345,M-01,601,00000000, 
0000009718,000040,0080013224,000040,J,C,8.0,ST,0.0, ,20040116,040127, ,601,00000000, 
0000009718,000040,0090034337,000040,M,C,8.0,ST,9620.8,EUR,20040120,040414, , ,00000000,L
0000009718,000040,4900031222,000004,R,C,8.0,ST,6217.65,EUR,20040119,040345,M-09,601,00000000, 
0000009719,000010,0080013225,000010,J,C,12.0,ST,0.0, ,20040116,040134, ,601,00000000, 
0000009719,000010,0090034338,000010,M,C,12.0,ST,17301.6,EUR,20040120,040427, , ,00000000,L
0000009719,000010,4900031223,000001,R,C,12.0,ST,11041.82,EUR,20040119,040355,M-17,601,00000000, 
0000009720,000010,0080013226,000010,J,C,33.0,ST,0.0, ,20040116,040136, ,601,00000000, 
0000009720,000010,0090034339,000010,M,C,33.0,ST,13668.6,EUR,20040120,040433, , ,00000000,L
0000009720,000010,4900031224,000001,R,C,33.0,ST,9447.9,EUR,20040119,040359,M-05,601,00000000, 
0000009720,000020,0080013226,000020,J,C,46.0,ST,0.0, ,20040116,040136, ,601,00000000, 
0000009720,000020,0090034339,000020,M,C,46.0,ST,64206.8,EUR,20040120,040433, , ,00000000,L
0000009720,000020,4900031224,000002,R,C,46.0,ST,42326.99,EUR,20040119,040359,M-17,601,00000000, 
0000009720,000030,0080013226,000030,J,C,42.0,ST,0.0, ,20040116,040136, ,601,00000000, 
0000009720,000030,0090034339,000030,M,C,42.0,ST,32642.4,EUR,20040120,040433, , ,00000000,L
0000009720,000030,4900031224,000003,R,C,42.0,ST,22549.84,EUR,20040119,040359,M-13,601,00000000, 
0000009720,000040,0080013226,000040,J,C,41.0,ST,0.0, ,20040116,040136, ,601,00000000, 
0000009720,000040,0090034339,000040,M,C,41.0,ST,47207.4,EUR,20040120,040433, , ,00000000,L
0000009720,000040,4900031224,000004,R,C,41.0,ST,31865.45,EUR,20040119,040359,M-09,601,00000000, 
0000009721,000010,0080013227,000010,J,C,37.0,ST,0.0, ,20040116,040139, ,601,00000000, 
0000009721,000010,0090034340,000010,M,C,37.0,ST,30835.8,EUR,20040120,040440, , ,00000000,L
0000009721,000010,4900031225,000001,R,C,37.0,ST,20058.96,EUR,20040119,040402,M-01,601,00000000, 
0000009722,000010,0080013193,000010,J,C,360.0,ST,0.0, ,20040114,040231, ,601,00000000, 
0000009722,000010,0090034333,000010,M,C,360.0,ST,20142.0,EUR,20040116,040313, , ,00000000,L
0000009722,000010,4900031196,000001,R,C,360.0,ST,5940.0,EUR,20040115,040228,DPC1010,601,00000000, 
0000009722,000020,0080013193,000020,J,C,114.0,ST,0.0, ,20040114,040231, ,601,00000000, 
0000009722,000020,0090034333,000020,M,C,114.0,ST,8572.8,EUR,20040116,040313, , ,00000000,L
0000009722,000020,4900031196,000002,R,C,114.0,ST,5791.2,EUR,20040115,040228,DPC1014,601,00000000, 
0000009722,000030,0080013193,000030,J,C,167.0,ST,0.0, ,20040114,040231, ,601,00000000, 
0000009722,000030,0090034333,000030,M,C,167.0,ST,46910.3,EUR,20040116,040313, , ,00000000,L
0000009722,000030,4900031196,000003,R,C,167.0,ST,51653.1,EUR,20040115,040228,DPC1003,601,00000000, 
0000009722,000040,0080013193,000040,J,C,62.0,ST,0.0, ,20040114,040231, ,601,00000000, 
0000009722,000040,0090034333,000040,M,C,62.0,ST,17118.2,EUR,20040116,040313, , ,00000000,L
0000009722,000040,4900031196,000004,R,C,62.0,ST,12226.4,EUR,20040115,040228,DPC1019,601,00000000, 
0000009723,000010,0080013209,000010,J,C,550.0,ST,0.0, ,20040115,060017, ,601,00000000, 
0000009723,000010,0090034356,000010,M,C,550.0,ST,27500.0,USD,20040120,060046, , ,00000000,L
0000009723,000010,4900031207,000001,R,C,550.0,ST,5500.0,USD,20040116,060059,1400-200,601,00000000, 
0000009723,000020,0080013209,000020,J,C,0.0,ST,0.0, ,20040115,060017, ,601,00000000, 
0000009723,000020,0090034356,000020,M,C,0.0,ST,0.0,USD,20040120,060046, , ,00000000,L
0000009723,000020,0163209000,060059,R,C,0.0,ST,0.0,USD,20040116,060059,1400-750, ,00000000, 
0000009724,000010,0080013210,000010,J,C,17.0,ST,0.0, ,20040115,060027, ,601,00000000, 
0000009724,000010,0090034357,000010,M,C,17.0,ST,5077.9,USD,20040120,060059, , ,00000000,L
0000009724,000010,4900031208,000001,R,C,17.0,ST,2527.9,USD,20040116,060121,M-14,601,00000000, 
0000009724,000020,0080013210,000020,J,C,22.0,ST,0.0, ,20040115,060027, ,601,00000000, 
0000009724,000020,0090034357,000020,M,C,22.0,ST,7675.8,USD,20040120,060059, , ,00000000,L
0000009724,000020,4900031208,000002,R,C,22.0,ST,4153.6,USD,20040116,060121,M-18,601,00000000, 
0000009724,000030,0080013210,000030,J,C,8.0,ST,0.0, ,20040115,060027, ,601,00000000, 
0000009724,000030,0090034357,000030,M,C,8.0,ST,3440.0,USD,20040120,060059, , ,00000000,L
0000009724,000030,4900031208,000003,R,C,8.0,ST,1446.4,USD,20040116,060121,M-02,601,00000000, 
0000009724,000040,0080013210,000040,J,C,16.0,ST,0.0, ,20040115,060027, ,601,00000000, 
0000009724,000040,0090034357,000040,M,C,16.0,ST,11472.0,USD,20040120,060059, , ,00000000,L
0000009724,000040,4900031208,000004,R,C,16.0,ST,6120.0,USD,20040116,060121,M-10,601,00000000, 
0000009725,000010,0080013211,000010,J,C,15.0,ST,0.0, ,20040115,060031, ,601,00000000, 
0000009725,000010,0090034358,000010,M,C,15.0,ST,4335.0,USD,20040120,060107, , ,00000000,L
0000009725,000010,4900031209,000001,R,C,15.0,ST,2086.5,USD,20040116,060129,M-06,601,00000000, 
0000009726,000010,0080013212,000010,J,C,39.0,ST,0.0, ,20040115,060034, ,601,00000000, 
0000009726,000010,0090034359,000010,M,C,39.0,ST,10101.0,USD,20040120,060111, , ,00000000,L
0000009726,000010,4900031210,000001,R,C,39.0,ST,5424.9,USD,20040116,060134,M-06,601,00000000, 
0000009726,000020,0080013212,000020,J,C,38.0,ST,0.0, ,20040115,060034, ,601,00000000, 
0000009726,000020,0090034359,000020,M,C,38.0,ST,12118.2,USD,20040120,060111, , ,00000000,L
0000009726,000020,4900031210,000002,R,C,38.0,ST,7174.4,USD,20040116,060134,M-18,601,00000000, 
0000009726,000030,0080013212,000030,J,C,35.0,ST,0.0, ,20040115,060034, ,601,00000000, 
0000009726,000030,0090034359,000030,M,C,35.0,ST,23345.0,USD,20040120,060111, , ,00000000,L
0000009726,000030,4900031210,000003,R,C,35.0,ST,13387.5,USD,20040116,060134,M-10,601,00000000, 
0000009726,000040,0080013212,000040,J,C,41.0,ST,0.0, ,20040115,060034, ,601,00000000, 
0000009726,000040,0090034359,000040,M,C,41.0,ST,11016.7,USD,20040120,060111, , ,00000000,L
0000009726,000040,4900031210,000004,R,C,41.0,ST,6096.7,USD,20040116,060134,M-14,601,00000000, 
0000009727,000010,0080013213,000010,J,C,40.0,ST,0.0, ,20040115,060038, ,601,00000000, 
0000009727,000010,0090034360,000010,M,C,40.0,ST,15228.0,USD,20040120,060116, , ,00000000,L
0000009727,000010,4900031211,000001,R,C,40.0,ST,7232.0,USD,20040116,060139,M-02,601,00000000, 
0000009728,000010,0080013228,000010,J,C,434.0,ST,0.0, ,20040116,040141, ,601,00000000, 
0000009728,000010,0090034341,000010,M,C,434.0,ST,13020.0,EUR,20040120,040444, , ,00000000,L
0000009728,000010,4900031226,000001,R,C,434.0,ST,4630.32,EUR,20040119,040406,1400-200,601,00000000, 
0000009728,000020,0080013228,000020,J,C,708.0,ST,0.0, ,20040116,040141, ,601,00000000, 
0000009728,000020,0090034341,000020,M,C,708.0,ST,17700.0,EUR,20040120,040444, , ,00000000,L
0000009728,000020,4900031226,000002,R,C,708.0,ST,5805.6,EUR,20040119,040406,1400-750,601,00000000, 
0000009729,000010,0080013229,000010,J,C,6.0,ST,0.0, ,20040116,040145, ,601,00000000, 
0000009729,000010,0090034342,000010,M,C,6.0,ST,5884.2,EUR,20040120,040449, , ,00000000,L
0000009729,000010,4900031227,000001,R,C,6.0,ST,3804.02,EUR,20040119,040409,M-02,601,00000000, 
0000009729,000020,0080013229,000020,J,C,12.0,ST,0.0, ,20040116,040145, ,601,00000000, 
0000009729,000020,0090034342,000020,M,C,12.0,ST,15204.0,EUR,20040120,040449, , ,00000000,L
0000009729,000020,4900031227,000002,R,C,12.0,ST,9817.2,EUR,20040119,040409,M-10,601,00000000, 
0000009729,000030,0080013229,000030,J,C,12.0,ST,0.0, ,20040116,040145, ,601,00000000, 
0000009729,000030,0090034342,000030,M,C,12.0,ST,10424.4,EUR,20040120,040449, , ,00000000,L
0000009729,000030,4900031227,000003,R,C,12.0,ST,6748.8,EUR,20040119,040409,M-14,601,00000000, 
0000009729,000040,0080013229,000040,J,C,11.0,ST,0.0, ,20040116,040145, ,601,00000000, 
0000009729,000040,0090034342,000040,M,C,11.0,ST,9449.0,EUR,20040120,040449, , ,00000000,L
0000009729,000040,4900031227,000004,R,C,11.0,ST,6130.3,EUR,20040119,040409,M-06,601,00000000, 
0000009730,000010,0080013230,000010,J,C,16.0,ST,0.0, ,20040116,040148, ,601,00000000, 
0000009730,000010,0090034343,000010,M,C,16.0,ST,11502.4,EUR,20040120,040455, , ,00000000,L
0000009730,000010,4900031228,000001,R,C,16.0,ST,14724.78,EUR,20040119,040414,M-18,601,00000000, 
0000009731,000010,0080013231,000010,J,C,39.0,ST,0.0, ,20040116,040150, ,601,00000000, 
0000009731,000010,0090034344,000010,M,C,39.0,ST,46858.5,EUR,20040120,040458, , ,00000000,L
0000009731,000010,4900031229,000001,R,C,39.0,ST,31905.9,EUR,20040119,040417,M-10,601,00000000, 
0000009731,000020,0080013231,000020,J,C,44.0,ST,0.0, ,20040116,040150, ,601,00000000, 
0000009731,000020,0090034344,000020,M,C,44.0,ST,29224.8,EUR,20040120,040458, , ,00000000,L
0000009731,000020,4900031229,000002,R,C,44.0,ST,40493.15,EUR,20040119,040417,M-18,601,00000000, 
0000009731,000030,0080013231,000030,J,C,43.0,ST,0.0, ,20040116,040150, ,601,00000000, 
0000009731,000030,0090034344,000030,M,C,43.0,ST,60200.0,EUR,20040120,040458, , ,00000000,L
0000009731,000030,4900031229,000003,R,C,43.0,ST,23963.92,EUR,20040119,040417,M-06,601,00000000, 
0000009731,000040,0080013231,000040,J,C,46.0,ST,0.0, ,20040116,040150, ,601,00000000, 
0000009731,000040,0090034344,000040,M,C,46.0,ST,37609.6,EUR,20040120,040458, , ,00000000,L
0000009731,000040,4900031229,000004,R,C,46.0,ST,25870.4,EUR,20040119,040417,M-14,601,00000000, 
0000009732,000010,0080013232,000010,J,C,42.0,ST,0.0, ,20040116,040153, ,601,00000000, 
0000009732,000010,0090034345,000010,M,C,42.0,ST,40542.6,EUR,20040120,040503, , ,00000000,L
0000009732,000010,4900031230,000001,R,C,42.0,ST,26628.16,EUR,20040119,040420,M-02,601,00000000, 
0000009733,000010,0080013190,000010,J,C,116.0,ST,0.0, ,20040113,060040, ,601,00000000, 
0000009733,000010,0090034330,000010,M,C,116.0,ST,15799.2,USD,20040115,060105, , ,00000000,L
0000009733,000010,4900031169,000001,R,C,116.0,ST,8259.2,USD,20040114,060159,DPC1015,601,00000000, 
0000009733,000020,0080013190,000020,J,C,389.0,ST,0.0, ,20040113,060040, ,601,00000000, 
0000009733,000020,0090034330,000020,M,C,389.0,ST,25285.0,USD,20040115,060105, , ,00000000,L
0000009733,000020,4900031169,000002,R,C,389.0,ST,12837.0,USD,20040114,060159,DPC1011,601,00000000, 
0000009733,000030,0080013190,000030,J,C,116.0,ST,0.0, ,20040113,060040, ,601,00000000, 
0000009733,000030,0090034330,000030,M,C,116.0,ST,35983.2,USD,20040115,060105, , ,00000000,L
0000009733,000030,4900031169,000003,R,C,116.0,ST,20648.0,USD,20040114,060159,DPC1004,601,00000000, 
0000009733,000040,0080013190,000040,J,C,237.0,ST,0.0, ,20040113,060040, ,601,00000000, 
0000009733,000040,0090034330,000040,M,C,237.0,ST,37825.2,USD,20040115,060105, , ,00000000,L
0000009733,000040,4900031169,000004,R,C,237.0,ST,17246.49,USD,20040114,060159,DPC1020,601,00000000, 
0000009734,000010,0080013194,000010,J,C,87.0,ST,0.0, ,20040114,040237, ,601,00000000, 
0000009734,000010,0090034334,000010,M,C,87.0,ST,26987.4,EUR,20040116,040320, , ,00000000,L
0000009734,000010,4900031197,000001,R,C,87.0,ST,55427.7,EUR,20040115,040236,DPC1004,601,00000000, 
0000009734,000020,0080013194,000020,J,C,87.0,ST,0.0, ,20040114,040237, ,601,00000000, 
0000009734,000020,0090034334,000020,M,C,87.0,ST,11849.4,EUR,20040116,040320, , ,00000000,L
0000009734,000020,4900031197,000002,R,C,87.0,ST,8456.39,EUR,20040115,040236,DPC1015,601,00000000, 
0000009734,000030,0080013194,000030,J,C,291.0,ST,0.0, ,20040114,040237, ,601,00000000, 
0000009734,000030,0090034334,000030,M,C,291.0,ST,18915.0,EUR,20040116,040320, , ,00000000,L
0000009734,000030,4900031197,000003,R,C,291.0,ST,5965.5,EUR,20040115,040236,DPC1011,601,00000000, 
0000009734,000040,0080013194,000040,J,C,177.0,ST,0.0, ,20040114,040237, ,601,00000000, 
0000009734,000040,0090034334,000040,M,C,177.0,ST,28249.2,EUR,20040116,040320, , ,00000000,L
0000009734,000040,4900031197,000004,R,C,177.0,ST,4159.5,EUR,20040115,040236,DPC1020,601,00000000, 
0000009735,000010,0080013214,000010,J,C,74.0,ST,0.0, ,20040115,060041, ,601,00000000, 
0000009735,000010,0090034361,000010,M,C,74.0,ST,38850.0,USD,20040120,060120, , ,00000000,L
0000009735,000010,4900031212,000001,R,C,74.0,ST,26122.0,USD,20040116,060142,1400-300,601,00000000, 
0000009736,000010,0080013215,000010,J,C,14.0,ST,0.0, ,20040115,060045, ,601,00000000, 
0000009736,000010,0090034362,000010,M,C,14.0,ST,6092.8,USD,20040120,060123, , ,00000000,L
0000009736,000010,4900031213,000001,R,C,14.0,ST,2658.6,USD,20040116,060146,M-15,601,00000000, 
0000009736,000020,0080013215,000020,J,C,22.0,ST,0.0, ,20040115,060045, ,601,00000000, 
0000009736,000020,0090034362,000020,M,C,22.0,ST,5649.6,USD,20040120,060123, , ,00000000,L
0000009736,000020,4900031213,000002,R,C,22.0,ST,2893.0,USD,20040116,060146,M-07,601,00000000, 
0000009736,000030,0080013215,000030,J,C,22.0,ST,0.0, ,20040115,060045, ,601,00000000, 
0000009736,000030,0090034362,000030,M,C,22.0,ST,6569.2,USD,20040120,060123, , ,00000000,L
0000009736,000030,4900031213,000003,R,C,22.0,ST,3583.36,USD,20040116,060146,M-19,601,00000000, 
0000009736,000040,0080013215,000040,J,C,20.0,ST,0.0, ,20040115,060045, ,601,00000000, 
0000009736,000040,0090034362,000040,M,C,20.0,ST,15914.0,USD,20040120,060123, , ,00000000,L
0000009736,000040,4900031213,000004,R,C,20.0,ST,8240.0,USD,20040116,060146,M-11,601,00000000, 
0000009737,000010,0080013216,000010,J,C,37.0,ST,0.0, ,20040115,060048, ,601,00000000, 
0000009737,000010,0090034363,000010,M,C,37.0,ST,8021.6,USD,20040120,060128, , ,00000000,L
0000009737,000010,4900031214,000001,R,C,37.0,ST,4865.5,USD,20040116,060151,M-07,601,00000000, 
0000009737,000020,0080013216,000020,J,C,42.0,ST,0.0, ,20040115,060048, ,601,00000000, 
0000009737,000020,0090034363,000020,M,C,42.0,ST,31319.4,USD,20040120,060128, , ,00000000,L
0000009737,000020,4900031214,000002,R,C,42.0,ST,17304.0,USD,20040116,060151,M-11,601,00000000, 
0000009737,000030,0080013216,000030,J,C,42.0,ST,0.0, ,20040115,060048, ,601,00000000, 
0000009737,000030,0090034363,000030,M,C,42.0,ST,11071.2,USD,20040120,060128, , ,00000000,L
0000009737,000030,4900031214,000003,R,C,42.0,ST,6840.96,USD,20040116,060151,M-19,601,00000000, 
0000009737,000040,0080013216,000040,J,C,50.0,ST,0.0, ,20040115,060048, ,601,00000000, 
0000009737,000040,0090034363,000040,M,C,50.0,ST,19760.0,USD,20040120,060128, , ,00000000,L
0000009737,000040,4900031214,000004,R,C,50.0,ST,9495.0,USD,20040116,060151,M-15,601,00000000, 
0000009738,000010,0080013217,000010,J,C,66.0,ST,0.0, ,20040115,060051, ,601,00000000, 
0000009738,000010,0090034364,000010,M,C,66.0,ST,22763.4,USD,20040120,060132, , ,00000000,L
0000009738,000010,4900031215,000001,R,C,66.0,ST,10685.4,USD,20040116,060155,M-03,601,00000000, 
0000009739,000010,0080013233,000010,J,C,59.0,ST,0.0, ,20040116,040156, ,601,00000000, 
0000009739,000010,0090034346,000010,M,C,59.0,ST,885000.0,EUR,20040120,040506, , ,00000000,L
0000009739,000010,4900031231,000001,R,C,59.0,ST,217196.7,EUR,20040119,040423,1400-300,601,00000000, 
0000009740,000010,0080013234,000010,J,C,11.0,ST,0.0, ,20040116,040159, ,601,00000000, 
0000009740,000010,0090034347,000010,M,C,11.0,ST,12047.2,EUR,20040120,040512, , ,00000000,L
0000009740,000010,4900031232,000001,R,C,11.0,ST,7817.7,EUR,20040119,040426,M-15,601,00000000, 
0000009740,000020,0080013234,000020,J,C,16.0,ST,0.0, ,20040116,040159, ,601,00000000, 
0000009740,000020,0090034347,000020,M,C,16.0,ST,13817.6,EUR,20040120,040512, , ,00000000,L
0000009740,000020,4900031232,000002,R,C,16.0,ST,8916.8,EUR,20040119,040426,M-19,601,00000000, 
0000009740,000030,0080013234,000030,J,C,6.0,ST,0.0, ,20040116,040159, ,601,00000000, 
0000009740,000030,0090034347,000030,M,C,6.0,ST,5669.4,EUR,20040120,040512, , ,00000000,L
0000009740,000030,4900031232,000003,R,C,6.0,ST,3804.0,EUR,20040119,040426,M-03,601,00000000, 
0000009740,000040,0080013234,000040,J,C,16.0,ST,0.0, ,20040116,040159, ,601,00000000, 
0000009740,000040,0090034347,000040,M,C,16.0,ST,11468.8,EUR,20040120,040512, , ,00000000,L
0000009740,000040,4900031232,000004,R,C,16.0,ST,9078.66,EUR,20040119,040426,M-07,601,00000000, 
0000009741,000010,0080013235,000010,J,C,15.0,ST,0.0, ,20040116,040202, ,601,00000000, 
0000009741,000010,0090034348,000010,M,C,15.0,ST,20185.5,EUR,20040120,040517, , ,00000000,L
0000009741,000010,4900031233,000001,R,C,15.0,ST,13038.0,EUR,20040119,040430,M-11,601,00000000, 
0000009742,000010,0080013236,000010,J,C,28.0,ST,0.0, ,20040116,040204, ,601,00000000, 
0000009742,000010,0090034349,000010,M,C,28.0,ST,30800.0,EUR,20040120,040520, , ,00000000,L
0000009742,000010,4900031234,000001,R,C,28.0,ST,15887.65,EUR,20040119,040433,M-07,601,00000000, 
0000009742,000020,0080013236,000020,J,C,38.0,ST,0.0, ,20040116,040204, ,601,00000000, 
0000009742,000020,0090034349,000020,M,C,38.0,ST,39459.2,EUR,20040120,040520, , ,00000000,L
0000009742,000020,4900031234,000002,R,C,38.0,ST,27006.6,EUR,20040119,040433,M-15,601,00000000, 
0000009742,000030,0080013236,000030,J,C,47.0,ST,0.0, ,20040116,040204, ,601,00000000, 
0000009742,000030,0090034349,000030,M,C,47.0,ST,61278.6,EUR,20040120,040520, , ,00000000,L
0000009742,000030,4900031234,000003,R,C,47.0,ST,40852.4,EUR,20040119,040433,M-11,601,00000000, 
0000009742,000040,0080013236,000040,J,C,49.0,ST,0.0, ,20040116,040204, ,601,00000000, 
0000009742,000040,0090034349,000040,M,C,49.0,ST,43340.5,EUR,20040120,040520, , ,00000000,L
0000009742,000040,4900031234,000004,R,C,49.0,ST,31066.0,EUR,20040119,040433,M-03,601,00000000, 
0000009743,000010,0080013237,000010,J,C,47.0,ST,0.0, ,20040116,040207, ,601,00000000, 
0000009743,000010,0090034350,000010,M,C,47.0,ST,35447.4,EUR,20040120,040525, , ,00000000,L
0000009743,000010,4900031235,000001,R,C,47.0,ST,26193.1,EUR,20040119,040436,M-19,601,00000000, 
0000009744,000010,0080013191,000010,J,C,389.0,ST,0.0, ,20040113,060051, ,601,00000000, 
0000009744,000010,0090034331,000010,M,C,389.0,ST,26335.3,USD,20040115,060134, , ,00000000,L
0000009744,000010,4900031170,000001,R,C,389.0,ST,13615.0,USD,20040114,060233,DPC1012,601,00000000, 
0000009744,000020,0080013191,000020,J,C,405.0,ST,0.0, ,20040113,060051, ,601,00000000, 
0000009744,000020,0090034331,000020,M,C,405.0,ST,105138.0,USD,20040115,060134, , ,00000000,L
0000009744,000020,4900031170,000002,R,C,405.0,ST,74925.0,USD,20040114,060233,DPC1005,601,00000000, 
0000009744,000030,0080013191,000030,J,C,77.0,ST,0.0, ,20040113,060051, ,601,00000000, 
0000009744,000030,0090034331,000030,M,C,77.0,ST,7368.9,USD,20040115,060134, , ,00000000,L
0000009744,000030,4900031170,000003,R,C,77.0,ST,3368.75,USD,20040114,060233,DPC1016,601,00000000, 
